埃里娜等身抱枕,1,生命 +0.1% 回血值 +1.0%,2小时30分钟,所有种类设计图：
埃尔韦拉的苹果香薰蜡烛,1,攻击 +0.1% 火属性攻击 +1.0%,30分钟,所有种类设计图：
海尔佛传说游戏包,1,防御 +0.1% 击败敌人时，加成 +1.0% 额外生命,3小时48分钟,所有种类设计图：
守护者公仔,1,攻击+0.1% 虚属性攻击 + 1.0%,1小时,所有种类设计图：
拉娜的护腕,1,防御 +0.1% 伤害减免 2.0,8分钟,所有种类设计图：
超人气索菲毛毯,1,攻击 +0.1% 光属性攻击 +1.0%,12分钟,所有种类设计图：
罗拉的精装日记本,1,攻击 +0.1% 击败敌人时，提升 +1.0% 攻击,3小时,所有种类设计图：
春秋派汪震眼镜,1,攻击 +0.1% 暴击率 +1.0%,30分钟,所有种类设计图：
地狱比萨饼钥匙扣,1,攻击 +0.1% 暴击伤害倍数 +1.0%,24分钟,所有种类设计图：
尤金的摩托车公仔,2,防御 +0.3% 生命 +0.1% 光属性攻击 +8.0%,2小时30分钟,所有种类设计图：
青叶的眼罩,2,生命 +0.3% 防御 +0.1% 土属性攻击 +8.0%,24分钟,所有种类设计图：
钢铁泰坦雕像,2,生命 +0.4% 攻击 +0.1% 击败敌人时，武器技能恢复时间 -0.2秒,30分钟,所有种类设计图：
柚子照片集,2,防御 +0.3% 生命 +0.1% 暗属性攻击 +8.0%,1小时28分钟,所有种类设计图：
偶像伊娃应援棒,2,防御 +0.3% 生命 +0.1% 虚属性攻击 +8.0%,3小时,所有种类设计图：
梅丽尔坐垫,2,攻击 +0.4% 生命 +0.1% 技能伤害值 +13.0%,24分钟,所有种类设计图：
封印女神水晶球,2,生命 +0.3% 防御 +0.1% 火属性攻击 +8.0%,1小时,所有种类设计图：
塞西尔热门歌曲合集八音盒,2,攻击 +0.4% 生命+0.1% 击败敌人时，恢复 +2.0%生命,6小时,所有种类设计图：
玛丽娜的鲨鱼钥匙扣,2,生命 +0.3% 防御 +0.1% 水属性攻击 +8.0%,40分钟,所有种类设计图：
欧格玛手办,3,攻击 +0.3% 生命 +0.2% 对坦克职业英雄造成的伤害提升8%、,1小时28分钟,x6x5x1x2,x6x3x3x3,"(更低概率由于空白设计图会产出全部种类的周边,所以概率更低)"
小公主公仔,3,防御 +0.3% 生命 +0.2% 按照技能伤害增加量的5%减免承受伤害。,6小时,x6x2x1x5,x6x3x3x3,"(更低概率由于空白设计图会产出全部种类的周边,所以概率更低)"
牺牲石像样品,3,攻击 +0.4% 对生命高于40%的敌人造成的伤害提升6%,24分钟,x6x1x5x2,x6x3x3x3,"(更低概率由于空白设计图会产出全部种类的周边,所以概率更低)"
笑面神坐垫,3,生命 +0.4% 开始战斗时，加成 +5.0%额外生命,3小时,x6x5x2x1,x6x3x3x3,"(更低概率由于空白设计图会产出全部种类的周边,所以概率更低)"
侵略者航天母舰模型,3,攻击 +0.4% 对于生命低于60%的敌人造成的伤害值提升6%,1小时,x6x2x5x1,x6x3x3x3,"(更低概率由于空白设计图会产出全部种类的周边,所以概率更低)"
老鼠奈莉坐垫,3,攻击 +0.3% 防御 +0.2% 攻击命中目标时，按照每秒伤害的8%造成远程伤害。该技能每2秒启动1次。,3小时48分钟,x6x1x2x5,x6x3x3x3,"(更低概率由于空白设计图会产出全部种类的周边,所以概率更低)"
神秘自动售货机存钱罐,3,攻击 +0.4% 回血值 +0.3% 攻击命中目标时，按照恢复能力的9%恢复我方全部人员生命，该技能每5秒启动1次。,4小时20分钟,x6x1x2x5,x6x3x3x3,"(更低概率由于空白设计图会产出全部种类的周边,所以概率更低)"
冰雪魔女的T恤,3,攻击 +0.3% 防御 +0.2% 攻击命中目标时，按照每秒伤害的8%造成近程伤害，该技能每2秒启动1次。,2小时30分钟,x6x2x5x1,x6x3x3x3,"(更低概率由于空白设计图会产出全部种类的周边,所以概率更低)"
秋风骑士时装,5,→,30分钟,所有种类设计图：
春日野餐美娅时装,5,→,6小时,所有种类设计图：
黑暗女王普利特维采时装,5,→,3小时48分钟,所有种类设计图：
海豹睡衣未来公主时装,5,→,3小时,所有种类设计图：
丛林之王岚芳时装,5,→,2小时30分钟,所有种类设计图：
麻辣教师加百列时装,5,→,4小时20分钟,所有种类设计图：
吊床小睡奈莉时装,5,→,1周年路线图最终奖励
老年英雄埃里娜时装,5,→,1小时28分,所有种类设计图：
